Category_Id,Category_Name,Department_Id
2,Soccer,2
3,Baseball & Softball,2
4,Basketball,2
5,Lacrosse,2
6,Tennis & Racquet,2
7,Hockey,2
9,Cardio Equipment,3
10,Strength Training,3
11,Fitness Accessories,3
12,Boxing & MMA,3
13,Electronics,3
16,As Seen on  TV!,3
17,Cleats,4
18,Men's Footwear,4
24,Women's Apparel,5
26,Girls' Apparel,5
29,Shop By Sport,5
30,Men's Golf Clubs,6
31,Women's Golf Clubs,6
32,Golf Apparel,6
33,Golf Shoes,6
34,Golf Bags & Carts,6
35,Golf Gloves,6
36,Golf Balls,6
37,Electronics,6
38,Kids' Golf Clubs,6
40,Accessories,6
41,Trade-In,6
43,Camping & Hiking,7
44,Hunting & Shooting,7
45,Fishing,7
46,Indoor/Outdoor Games,7
48,Water Sports,7
59,Books,8
60,Baby,4
61,CDs,9
62,Cameras,10
63,Children's Clothing,4
64,Computers,10
65,Consumer Electronics,10
66,Crafts,4
67,DVDs,9
68,Garden,6
69,Health and Beauty,12
70,Men's Clothing,4
71,Music,9
72,Pet Supplies,11
73,Sporting Goods,2
74,Toys,7
75,Video Games,9
76,Women's Clothing,4
