Order_Id,Shipping_Mode,Order_Date,Shipping_Date,Days_for_shipment _scheduled,Days_for_shipping _real,Late_delivery_risk,Delivery_Status
28744,Second Class,2/24/2016,2/29/2016,2,5,Late,Late delivery
45461,Second Class,10/25/2016,10/27/2016,2,2,No late,Shipping on time
31115,Second Class,3/30/2016,4/5/2016,2,6,Late,Late delivery
45766,Second Class,10/30/2016,11/1/2016,2,2,No late,Shipping on time
47752,Second Class,11/28/2016,12/1/2016,2,3,Late,Late delivery
50054,Second Class,12/31/2016,1/5/2017,2,5,Late,Late delivery
20365,Second Class,10/25/2015,10/31/2015,2,6,Late,Late delivery
36146,Second Class,6/11/2016,6/13/2016,2,2,No late,Shipping on time
41234,Second Class,8/24/2016,8/29/2016,2,5,Late,Late delivery
32090,Second Class,4/13/2016,4/19/2016,2,6,Late,Late delivery
34773,Second Class,5/22/2016,5/26/2016,2,4,Late,Late delivery
44046,Second Class,10/4/2016,10/6/2016,2,2,No late,Shipping on time
46414,Second Class,11/8/2016,11/13/2016,2,5,Late,Late delivery
46599,Second Class,11/11/2016,11/16/2016,2,5,Late,Late delivery
48434,Second Class,12/8/2016,12/13/2016,2,5,Late,Late delivery
12827,Second Class,7/7/2015,7/10/2015,2,3,Late,Late delivery
63936,Second Class,7/22/2017,7/24/2017,2,2,No late,Shipping on time
65030,Second Class,8/7/2017,8/13/2017,2,6,Late,Late delivery
18108,Second Class,9/22/2015,9/26/2015,2,4,Late,Late delivery
62571,Second Class,7/2/2017,7/4/2017,2,2,No late,Shipping on time
17162,Second Class,9/8/2015,9/11/2015,2,3,Late,Late delivery
65922,Second Class,8/20/2017,8/23/2017,2,3,Late,Late delivery
64813,Second Class,8/4/2017,8/8/2017,2,4,Late,Late delivery
67892,Second Class,9/18/2017,9/21/2017,2,3,Late,Late delivery
12525,Second Class,7/2/2015,7/8/2015,2,6,Late,Late delivery
5895,Second Class,3/28/2015,4/3/2015,2,6,Late,Late delivery
56359,Second Class,4/2/2017,4/7/2017,2,5,Late,Late delivery
58613,Second Class,5/5/2017,5/9/2017,2,4,Late,Late delivery
7824,Second Class,4/25/2015,4/30/2015,2,5,Late,Late delivery
7814,Second Class,4/25/2015,4/30/2015,2,5,Late,Late delivery
60807,Second Class,6/6/2017,6/9/2017,2,3,Late,Late delivery
53413,Second Class,2/18/2017,2/22/2017,2,4,Late,Late delivery
7888,Second Class,4/26/2015,4/30/2015,2,4,Late,Late delivery
6783,Second Class,4/10/2015,4/14/2015,2,4,Late,Late delivery
56973,Second Class,4/11/2017,4/15/2017,2,4,Late,Late delivery
55155,Second Class,3/16/2017,3/22/2017,2,6,Late,Late delivery
