Shop_Id,Shop_City,Shop_State,Shop_Region,Shop_Country,Market
11,Overland Park,Kansas,US Center,Estados Unidos,USCA
114,Houston,Texas,US Center,Estados Unidos,USCA
120,Columbus,Indiana,US Center,Estados Unidos,USCA
124,Des Plaines,Illinois,US Center,Estados Unidos,USCA
125,Elmhurst,Illinois,US Center,Estados Unidos,USCA
593,Tulsa,Oklahoma,US Center,Estados Unidos,USCA
826,Oswego,Illinois,US Center,Estados Unidos,USCA
827,Saint Charles,Illinois,US Center,Estados Unidos,USCA
828,Decatur,Illinois,US Center,Estados Unidos,USCA
836,Grand Rapids,Michigan,US Center,Estados Unidos,USCA
838,Round Rock,Texas,US Center,Estados Unidos,USCA
839,Arlington,Texas,US Center,Estados Unidos,USCA
842,Detroit,Michigan,US Center,Estados Unidos,USCA
843,Minneapolis,Minnesota,US Center,Estados Unidos,USCA
849,San Antonio,Texas,US Center,Estados Unidos,USCA
850,Omaha,Nebraska,US Center,Estados Unidos,USCA
852,Dallas,Texas,US Center,Estados Unidos,USCA
854,Jackson,Michigan,US Center,Estados Unidos,USCA
855,Chicago,Illinois,US Center,Estados Unidos,USCA
982,Pharr,Texas,US Center,Estados Unidos,USCA
985,Wichita,Kansas,US Center,Estados Unidos,USCA
986,Fort Worth,Texas,US Center,Estados Unidos,USCA
989,Odessa,Texas,US Center,Estados Unidos,USCA
995,Amarillo,Texas,US Center,Estados Unidos,USCA
997,Frisco,Texas,US Center,Estados Unidos,USCA
1001,Saint Louis,Misuri,US Center,Estados Unidos,USCA
1066,Noblesville,Indiana,US Center,Estados Unidos,USCA
1073,Broken Arrow,Oklahoma,US Center,Estados Unidos,USCA
1079,Quincy,Illinois,US Center,Estados Unidos,USCA
1080,Saint Paul,Minnesota,US Center,Estados Unidos,USCA
1082,New Albany,Indiana,US Center,Estados Unidos,USCA
1525,Superior,Wisconsin,US Center,Estados Unidos,USCA
1531,Mesquite,Texas,US Center,Estados Unidos,USCA
1539,Pasadena,Texas,US Center,Estados Unidos,USCA
1546,Oak Park,Illinois,US Center,Estados Unidos,USCA
1547,Wausau,Wisconsin,US Center,Estados Unidos,USCA
1548,Fremont,Nebraska,US Center,Estados Unidos,USCA
